created_at,entry_id,field1
2021-07-14 07:01:32 UTC,306,29.6
2021-07-14 07:01:48 UTC,307,29.6
2021-07-14 07:02:03 UTC,308,29.6
2021-07-14 07:02:18 UTC,309,29.6
2021-07-14 07:02:33 UTC,310,29.5
2021-07-14 07:02:49 UTC,311,29.5
2021-07-14 07:03:05 UTC,312,29.4
2021-07-14 07:03:20 UTC,313,29.4
2021-07-14 07:03:36 UTC,314,29.5
2021-07-14 07:03:51 UTC,315,29.5
2021-07-14 07:04:06 UTC,316,29.5
2021-07-14 07:04:22 UTC,317,29.6
2021-07-14 07:04:38 UTC,318,29.6
2021-07-14 07:04:53 UTC,319,29.6
2021-07-14 07:05:08 UTC,320,29.7
2021-07-14 07:05:24 UTC,321,29.7
2021-07-14 07:05:39 UTC,322,29.8
2021-07-14 07:05:54 UTC,323,29.8
2021-07-14 07:06:10 UTC,324,29.8
2021-07-14 07:06:25 UTC,325,29.8
2021-07-14 07:06:41 UTC,326,29.8
2021-07-14 07:06:56 UTC,327,29.8
2021-07-14 07:07:12 UTC,328,29.8
2021-07-14 07:07:27 UTC,329,29.8
2021-07-14 07:07:44 UTC,330,29.7
2021-07-14 07:07:59 UTC,331,29.6
2021-07-14 07:08:14 UTC,332,29.5
2021-07-14 07:08:30 UTC,333,29.5
2021-07-14 07:08:45 UTC,334,29.4
2021-07-14 07:09:00 UTC,335,29.3
2021-07-14 07:09:15 UTC,336,29.3
2021-07-14 07:09:31 UTC,337,29.2
2021-07-14 07:09:46 UTC,338,29.2
2021-07-14 07:10:01 UTC,339,29.1
2021-07-14 07:10:17 UTC,340,29.1
2021-07-14 07:10:33 UTC,341,29
2021-07-14 07:10:48 UTC,342,29
2021-07-14 07:11:03 UTC,343,28.9
2021-07-14 07:11:18 UTC,344,28.9
2021-07-14 07:11:33 UTC,345,29
2021-07-14 07:11:49 UTC,346,29
2021-07-14 07:12:04 UTC,347,28.9
2021-07-14 10:17:43 UTC,348,32.1
2021-07-14 10:17:58 UTC,349,31.7
2021-07-14 10:18:13 UTC,350,31.8
2021-07-14 10:18:28 UTC,351,31.5
2021-07-14 10:18:44 UTC,352,31.5
2021-07-14 10:24:29 UTC,353,31.6
2021-07-14 10:24:45 UTC,354,31.4
2021-07-14 10:25:00 UTC,355,31.4
2021-07-14 10:25:16 UTC,356,31.3
2021-07-14 10:25:31 UTC,357,31.2
2021-07-14 10:25:47 UTC,358,31.1
2021-07-14 10:26:03 UTC,359,31.1
2021-07-14 10:26:18 UTC,360,31
2021-07-14 10:26:36 UTC,361,31
2021-07-14 10:26:51 UTC,362,31
2021-07-14 10:27:07 UTC,363,31
2021-07-14 10:27:25 UTC,364,31
2021-07-14 10:27:40 UTC,365,31
2021-07-14 10:27:56 UTC,366,31.1
2021-07-14 10:28:12 UTC,367,31.1
2021-07-14 10:28:27 UTC,368,31.1
2021-07-14 10:28:43 UTC,369,31.2
2021-07-14 10:28:58 UTC,370,31.1
2021-07-14 10:29:14 UTC,371,31
2021-07-14 10:29:46 UTC,372,31
2021-07-14 10:30:01 UTC,373,30.8
2021-07-14 10:30:17 UTC,374,30.8
2021-07-14 10:30:33 UTC,375,30.9
2021-07-14 10:30:48 UTC,376,30.8
2021-07-14 10:31:03 UTC,377,30.9
2021-07-14 10:31:19 UTC,378,30.9
2021-07-14 10:31:34 UTC,379,30.8
2021-07-14 10:31:49 UTC,380,30.9
2021-07-14 10:32:05 UTC,381,31.6
2021-07-14 10:32:20 UTC,382,33.1
2021-07-14 10:32:35 UTC,383,33.8
2021-07-14 10:32:50 UTC,384,34
2021-07-14 10:33:05 UTC,385,33.8
2021-07-14 10:33:20 UTC,386,33.8
2021-07-14 10:33:35 UTC,387,33.3
2021-07-14 10:33:51 UTC,388,32.8
2021-07-14 10:34:06 UTC,389,33.9
2021-07-14 10:34:21 UTC,390,34
2021-07-14 10:34:36 UTC,391,34
2021-07-14 10:34:52 UTC,392,33.8
2021-07-14 10:35:07 UTC,393,32.9
2021-07-14 10:35:22 UTC,394,32.3
2021-07-14 10:35:38 UTC,395,31.8
2021-07-14 10:35:54 UTC,396,31.4
2021-07-14 10:36:09 UTC,397,31.2
2021-07-14 10:36:24 UTC,398,31
2021-07-14 10:36:40 UTC,399,30.9
2021-07-14 10:36:56 UTC,400,30.8
2021-07-14 10:37:12 UTC,401,30.8
2021-07-14 10:37:28 UTC,402,30.8
2021-07-14 10:37:44 UTC,403,30.8
2021-07-14 10:37:59 UTC,404,30.8
2021-07-14 10:38:15 UTC,405,30.8
